provider,alias,name,description,temperatures,parameters,Context_length,Max_output,input_cost,output_cost,bedrock,structured,default,reverse,statements,clean_references,injection,guidelines,answer feedback,rescue,pencil_sections_extraction,pencil_answers,pencil_answers_feedback,pencil_sections_analysis,pencil_units_extraction,pencil_relations,notes
openai,o1-pr,o1-preview-2024-09-12,OpenAI o1 preview model,1,,128000,32000,15,60,,,,,,,,,,,,,,,,,good at summarization
openai,o1-pr-32k,o1-preview-2024-09-12,o1 preview with max_tokens = 32k,"0,0.3,0.6",,128000,32000,15,60,,,,,,,,,,,,,,,,,
openai,o1,o1-2024-12-17,OpenAI o1 model,1,,200000,100000,15,60,,,,,,,,,,,,,,,,,
openai,o1-100k,o1-2024-12-17,o1 model with max_tokens = 100k,"0,0.3,0.6",,200000,100000,15,60,,,,,,,,,,,,,,,,,
openai,o3m,o3-mini-2025-01-31,OpenAI o3 mini model,"0,0.3,0.6",,200000,100000,1.1,4.4,,,,,,,,,,,,,,,,,
openai,o3m-l,o3-mini-2025-01-31,o3-mini - low reasoning,"0,0.3,0.6",,200000,100000,1.1,4.4,,,,,,,,,,,,,,,,,
openai,o3m-m,o3-mini-2025-01-31,o3-mini - medium reasoning,"0,0.3,0.6",,200000,100000,1.1,4.4,,,,,,,,,,,,,,,,,
openai,o3m-h,o3-mini-2025-01-31,o3-mini - high reasoning,,,200000,100000,1.1,4.4,,,,,,,,,,,,,,,,,
openai,o3m-h-100k,o3-mini-2025-01-31,o3-mini - high reasoning with max_tokens = 100k,"0,0.3,0.6",,200000,100000,1.1,4.4,,YES,,,A,,,,A,,A,A,A,A,A,A,"best at general tasks, good at structured (json)"
openai,gpt4o,gpt-4o,OpenAI GPT-4o model,"0,0.3,0.6",,128000,16000,2.5,10,,,,,,,,,,,,,,,,,
openai,gpt4o-16k,gpt-4o,GPT-4o with max_tokens = 32k,"0,0.3,0.6",,128000,16000,2.5,10,,,,,,,,,,,,,,,,,
openai,gpt4om,gpt-4o-mini,OpenAI GPT-4o mini model,,,128000,16000,0.15,0.6,,,,,,,,,,,,,,,,,
openai,gpt41,gpt-4.1,OpenAI GPT-4.1 model,,,1000000,32000,2,8,,,,,,,,A,,,,,,,,,
openai,o3,o3-2025-04-16,o3,,,200000,100000,2,8,,,,,,,,,,,,,,,,,
openai,o3-h,o3-2025-04-16,o3 - high reasoning,,,200000,100000,2,8,,,,,,,,,,,,,,,,,
openai,o4m,o4-mini-2025-04-16,o4-mini,,,200000,100000,"1,1","4,4",,,,,,,,,,,,,,,,,
openai,o4m-h,o4-mini-2025-04-16,o4-mini - high reasoning,,,200000,100000,"1,1","4,4",,,,,,,,,,,,,,,,,
anthropic,cl35-h,us.anthropic.claude-3-5-haiku-20241022-v1:0,Anthropic Claude 3.5 Haiku model,,,200000,8000,0.8,4,,,,,,,,,,,,,,,,,
anthropic,cl35-s,us.anthropic.claude-3-5-sonnet-20241022-v2:0,Anthropic Claude 3.5 Sonnet model,,,200000,8000,3,15,,,,,,,,,,,,,,,,,
anthropic,cl37,eu.anthropic.claude-3-7-sonnet-20250219-v1:0,Claude 37 - default (no thinking),,,200000,128000,3,15,,,,,,,,,,,,,,,,,
anthropic,cl37-t-l,eu.anthropic.claude-3-7-sonnet-20250219-v1:0,Claude 37 - think low (1k budget),,,200000,128000,3,15,,,,,,,,,,,,,,,,,
anthropic,cl37-t-m,eu.anthropic.claude-3-7-sonnet-20250219-v1:0,Claude 37 - think medium (2k budget),,,200000,128000,3,15,,,,,,,,,,,,,,,,,"<--- this was REVERSE previous mode, santi changed it for tests"
anthropic,cl37-t-h,eu.anthropic.claude-3-7-sonnet-20250219-v1:0,Claude 37 - think high (4k budget),,,200000,128000,3,15,,,,,,,,,,,,,,,,,
anthropic,cl37-t-he,eu.anthropic.claude-3-7-sonnet-20250219-v1:0,Claude 37 - think high (8k budget) max_tokens = 128k,,,200000,128000,3,15,,,,,,,,,,,,,,,,,
anthropic,cls4,us.anthropic.claude-sonnet-4-20250514-v1:0,Claude Sonnet 4 - default (no thinking),,,200000,64000,3,15,,,,,,,,,,,,,,,,,
anthropic,cls4-t-h,us.anthropic.claude-sonnet-4-20250514-v1:0,Claude Sonnet 4 - think high (4k budget),,,200000,64000,3,15,,,,,,,,,,,,,,,,,
anthropic,cls4-t-he,us.anthropic.claude-sonnet-4-20250514-v1:0,Claude Sonnet 4 - think high extended (8k budget),,,200000,64000,3,15,,,,,,,,,,,,,,,,,
anthropic,clo4,us.anthropic.claude-opus-4-20250514-v1:0,Claude Opus 4 - default (no thinking),,,200000,32000,15,75,,,,,,,,,,,,,,,,,
anthropic,clo4-t-h,us.anthropic.claude-opus-4-20250514-v1:0,Claude Opus 4 - think high (4k budget),,,200000,32000,15,75,,,,,,,,,,,,,,,,,
anthropic,clo4-t-he,us.anthropic.claude-opus-4-20250514-v1:0,Claude Opus 4 - think high extended (8k budget),,,200000,32000,15,75,,,,,,,,,,,,,,,,,
deepseek,ds-r1,us.deepseek.r1-v1:0,DeepSeek R1 model,,,128000,32000,"0,55","2,19",,,,,,,,,,,,,,,,,
deepseek,ds-r1-32k,us.deepseek.r1-v1:0,deepseek.r1 with max_tokens = 32k,,,128000,32000,1,3,,,,,,A,A,,,,,,,,,,
google,gem2,gemini-2.0-flash,Google Gemini 2.0 Flash model,,,1000000,8000,0.1,0.4,,,,,,,,,,,,,,,,,
google,gem2-8k,gemini-2.0-flash,gemini-2.0-flash with max_tokens = 8k,,,1000000,8000,0.1,0.4,,,,,,,,,,,,,,,,,
google,gem2-lt,gemini-2.0-flash-lite,Google Gemini 2.0 Flash Lite model,,,1000000,8000,0.08,0.3,,,,,,,,,,,,,,,,,
google,gem25-pro-exp,gemini-2.5-pro-exp-03-25,Google Gemini 2.5 Pro experimental model,,,1000000,64000,0,0,,,,,,,,,,,,,,,,,
google,gem25-pro-prev,gemini-2.5-pro-preview-03-25,Google Gemini 2.5 Pro Preview model,,,1000000,64000,1.25,10,,,,A,,,,,,,,,,,,,
google,gem25-f-prev,gemini-2.5-flash-preview-04-17,Gemini 2.5 Flash Preview 04-17,,,1000000,64000,0.15,0.60,,,A,,,,,,,A,,,,,,,